distancia,velocidad,salto
590,10,0
580,10,0
570,10,0
560,10,0
550,10,0
540,10,0
530,10,0
520,10,0
510,10,0
500,10,0
490,10,0
480,10,0
470,10,0
460,10,0
450,10,0
440,10,0
430,10,0
420,10,0
410,10,0
400,10,0
390,10,0
380,10,0
370,10,0
360,10,0
350,10,0
340,10,0
330,10,0
320,10,0
310,10,0
300,10,0
290,10,0
280,10,0
270,10,0
260,10,0
250,10,0
240,10,0
230,10,0
220,10,0
210,10,0
200,10,0
190,10,0
180,10,0
170,10,0
160,10,0
150,10,0
140,10,0
130,10,1
120,10,1
110,10,1
100,10,1
90,10,1
80,10,1
70,10,1
60,10,1
50,10,1
40,10,1
30,10,1
20,10,1
10,10,1
594,13,0
581,13,0
568,13,0
555,13,0
542,13,0
529,13,0
516,13,0
503,13,0
490,13,0
477,13,0
464,13,0
451,13,0
438,13,0
425,13,0
412,13,0
399,13,0
386,13,0
373,13,0
360,13,0
347,13,0
334,13,0
321,13,0
308,13,0
295,13,0
282,13,0
269,13,0
256,13,0
243,13,0
230,13,0
217,13,0
204,13,0
191,13,0
178,13,1
165,13,1
152,13,1
139,13,1
126,13,1
113,13,1
100,13,1
87,13,1
74,13,1
61,13,1
48,13,1
35,13,1
22,13,1
9,13,1
596,14,0
582,14,0
568,14,0
554,14,0
540,14,0
526,14,0
512,14,0
498,14,0
484,14,0
470,14,0
456,14,0
442,14,0
428,14,0
414,14,0
400,14,0
386,14,0
372,14,0
358,14,0
344,14,0
330,14,0
316,14,0
302,14,0
288,14,0
274,14,0
260,14,0
246,14,0
232,14,0
218,14,0
204,14,0
190,14,0
176,14,0
162,14,0
148,14,0
134,14,0
120,14,1
106,14,1
92,14,1
78,14,1
64,14,1
50,14,1
36,14,1
22,14,1
8,14,1
594,12,1
582,12,0
570,12,0
558,12,0
546,12,0
534,12,0
522,12,0
510,12,0
498,12,0
486,12,0
474,12,0
462,12,0
450,12,0
438,12,0
426,12,0
414,12,0
402,12,0
390,12,0
378,12,0
366,12,0
354,12,0
342,12,0
330,12,0
318,12,0
306,12,0
294,12,0
282,12,0
270,12,0
258,12,0
246,12,0
234,12,0
222,12,0
210,12,0
198,12,0
186,12,0
174,12,0
162,12,0
150,12,1
138,12,1
126,12,1
114,12,1
102,12,1
90,12,1
78,12,1
66,12,1
54,12,1
42,12,1
30,12,1
18,12,1
6,12,1
596,14,0
582,14,0
568,14,0
554,14,0
540,14,0
526,14,0
512,14,0
498,14,0
484,14,0
470,14,0
456,14,0
442,14,0
428,14,0
414,14,0
400,14,0
386,14,0
372,14,0
358,14,0
344,14,0
330,14,0
316,14,0
302,14,0
288,14,0
274,14,0
260,14,0
246,14,0
232,14,0
218,14,0
204,14,0
190,14,0
176,14,1
162,14,1
148,14,1
134,14,1
120,14,1
106,14,1
92,14,1
78,14,1
64,14,1
50,14,1
36,14,1
22,14,1
8,14,1
596,14,0
582,14,0
568,14,0
554,14,0
540,14,0
526,14,0
512,14,0
498,14,0
484,14,0
470,14,0
456,14,0
442,14,0
428,14,0
414,14,0
400,14,0
386,14,0
372,14,0
358,14,0
344,14,0
330,14,0
316,14,0
302,14,0
288,14,0
274,14,0
260,14,0
246,14,0
232,14,0
218,14,0
204,14,1
190,14,1
176,14,1
162,14,1
148,14,1
134,14,1
120,14,1
106,14,1
92,14,1
78,14,1
64,14,1
50,14,1
36,14,1
22,14,1
8,14,1
597,9,0
588,9,0
579,9,0
570,9,0
561,9,0
552,9,0
543,9,0
534,9,0
525,9,0
516,9,0
507,9,0
498,9,0
489,9,0
480,9,0
471,9,0
462,9,0
453,9,0
444,9,0
435,9,0
426,9,0
417,9,0
408,9,0
399,9,0
390,9,0
381,9,0
372,9,0
363,9,0
354,9,0
345,9,0
336,9,0
327,9,0
318,9,0
309,9,0
300,9,0
291,9,0
282,9,0
273,9,0
264,9,0
255,9,0
246,9,0
237,9,0
228,9,0
219,9,0
210,9,0
201,9,0
192,9,0
183,9,0
174,9,1
165,9,1
156,9,1
147,9,1
138,9,1
129,9,1
120,9,1
111,9,1
102,9,1
93,9,1
84,9,1
75,9,1
66,9,1
57,9,1
48,9,1
39,9,1
30,9,1
21,9,1
12,9,1
3,9,1
590,10,0
580,10,0
570,10,0
560,10,0
550,10,0
540,10,0
530,10,0
520,10,0
510,10,0
500,10,0
490,10,0
480,10,0
470,10,0
460,10,0
450,10,0
440,10,0
430,10,0
420,10,0
410,10,0
400,10,0
390,10,0
380,10,0
370,10,0
360,10,0
350,10,0
340,10,0
330,10,0
320,10,0
310,10,0
300,10,0
290,10,0
280,10,0
270,10,0
260,10,0
250,10,0
240,10,0
230,10,0
220,10,0
210,10,0
200,10,0
190,10,0
180,10,0
170,10,0
160,10,0
150,10,0
140,10,0
130,10,0
120,10,1
110,10,1
100,10,1
90,10,1
80,10,1
70,10,1
60,10,1
50,10,1
40,10,1
30,10,1
20,10,1
10,10,1
594,12,0
582,12,0
570,12,0
558,12,0
546,12,0
534,12,0
522,12,0
510,12,0
498,12,0
486,12,0
474,12,0
462,12,0
450,12,0
438,12,0
426,12,0
414,12,0
402,12,0
390,12,0
378,12,0
366,12,0
354,12,0
342,12,0
330,12,0
318,12,0
306,12,0
294,12,0
282,12,0
